embedding,building,filtering,gnn,labeling,total
0.1207,0.0000,0.0000,0.0000,0.1212,0.1212
0.0637,0.0000,0.0000,0.0000,0.0649,0.0649
0.1559,0.0000,0.0000,0.0000,0.1602,0.1602
0.0906,0.0000,0.0000,0.0000,0.0940,0.0940
0.0709,0.0000,0.0000,0.0000,0.0717,0.0717
0.1683,0.0000,0.0000,0.0000,0.1738,0.1738
0.1279,0.0000,0.0000,0.0000,0.1307,0.1307
0.0773,0.0000,0.0000,0.0000,0.0793,0.0793
0.0662,0.0000,0.0000,0.0000,0.0684,0.0684
0.1180,0.0000,0.0000,0.0000,0.1226,0.1226
0.0827,0.0000,0.0000,0.0000,0.0850,0.0850
0.0555,0.0000,0.0000,0.0000,0.0566,0.0566
0.0638,0.0000,0.0000,0.0000,0.0659,0.0659
0.1096,0.0000,0.0000,0.0000,0.1132,0.1132
0.0598,0.0000,0.0000,0.0000,0.0612,0.0612
0.0796,0.0000,0.0000,0.0000,0.0820,0.0820
0.0924,0.0000,0.0000,0.0000,0.0958,0.0958
0.1002,0.0000,0.0000,0.0000,0.1055,0.1055
0.1195,0.0000,0.0000,0.0000,0.1238,0.1238
0.0790,0.0000,0.0000,0.0000,0.0813,0.0813
0.0497,0.0000,0.0000,0.0000,0.0501,0.0501
0.0847,0.0000,0.0000,0.0000,0.0879,0.0879
0.0527,0.0000,0.0000,0.0000,0.0539,0.0539
0.0827,0.0000,0.0000,0.0000,0.0857,0.0857
0.0712,0.0000,0.0000,0.0000,0.0719,0.0719
0.1436,0.0000,0.0000,0.0000,0.1467,0.1467
0.1532,0.0000,0.0000,0.0000,0.1578,0.1578
0.0674,0.0000,0.0000,0.0000,0.0677,0.0677
0.1206,0.0000,0.0000,0.0000,0.1235,0.1235
0.0659,0.0000,0.0000,0.0000,0.0664,0.0664
0.0654,0.0000,0.0000,0.0000,0.0679,0.0679
0.0629,0.0000,0.0000,0.0000,0.0647,0.0647
0.0486,0.0000,0.0000,0.0000,0.0498,0.0498
0.0558,0.0000,0.0000,0.0000,0.0574,0.0574
0.1201,0.0000,0.0000,0.0000,0.1232,0.1232
0.1330,0.0000,0.0000,0.0000,0.1347,0.1347
0.0835,0.0000,0.0000,0.0000,0.0841,0.0841
0.1051,0.0000,0.0000,0.0000,0.1070,0.1070
0.0830,0.0000,0.0000,0.0000,0.0847,0.0847
0.0857,0.0000,0.0000,0.0000,0.0875,0.0875
0.0570,0.0000,0.0000,0.0000,0.0577,0.0577
0.0955,0.0000,0.0000,0.0000,0.0966,0.0966
0.1004,0.0000,0.0000,0.0000,0.1010,0.1010
0.0705,0.0000,0.0000,0.0000,0.0710,0.0710
0.0929,0.0000,0.0000,0.0000,0.0947,0.0947
0.0787,0.0000,0.0000,0.0000,0.0801,0.0801
0.1282,0.0000,0.0000,0.0000,0.1349,0.1349
0.0833,0.0000,0.0000,0.0000,0.0864,0.0864
0.0702,0.0000,0.0000,0.0000,0.0722,0.0722
0.0960,0.0000,0.0000,0.0000,0.0998,0.0998
0.0987,0.0000,0.0000,0.0000,0.0991,0.0991
0.1169,0.0000,0.0000,0.0000,0.1187,0.1187
0.0839,0.0000,0.0000,0.0000,0.0849,0.0849
0.0641,0.0000,0.0000,0.0000,0.0651,0.0651
