embed,frnn,filter,gnn,wcc,exatrkx,num_evts
0.0010,0.0062,0.0076,0.0107,0.0728,0.0983,1
0.0009,0.0042,0.0022,0.0109,0.0471,0.0653,1
0.0008,0.0045,0.0035,0.0081,0.0892,0.1060,1
0.0009,0.0043,0.0025,0.0096,0.0906,0.1079,1
0.0008,0.0041,0.0019,0.0114,0.0520,0.0701,1
0.0008,0.0045,0.0046,0.0078,0.0672,0.0848,1
0.0009,0.0044,0.0031,0.0095,0.0561,0.0740,1
0.0009,0.0038,0.0021,0.0109,0.0374,0.0551,1
0.0008,0.0041,0.0022,0.0109,0.0570,0.0749,1
0.0007,0.0043,0.0033,0.0090,0.0709,0.0882,1
0.0007,0.0041,0.0020,0.0113,0.0806,0.0988,1
0.0007,0.0041,0.0021,0.0119,0.0545,0.0733,1
0.0008,0.0040,0.0021,0.0115,0.0648,0.0833,1
0.0009,0.0042,0.0033,0.0098,0.0600,0.0782,1
0.0008,0.0041,0.0021,0.0119,0.0776,0.0964,1
0.0008,0.0041,0.0026,0.0107,0.0774,0.0956,1
0.0008,0.0041,0.0024,0.0117,0.0905,0.1095,1
0.0007,0.0041,0.0028,0.0108,0.0659,0.0843,1
0.0009,0.0042,0.0031,0.0097,0.0497,0.0676,1
0.0008,0.0041,0.0020,0.0116,0.0390,0.0575,1
0.0008,0.0040,0.0020,0.0128,0.0268,0.0463,1
0.0008,0.0040,0.0022,0.0123,0.0368,0.0561,1
0.0008,0.0040,0.0021,0.0128,0.0359,0.0556,1
0.0008,0.0040,0.0023,0.0117,0.0464,0.0652,1
0.0008,0.0040,0.0020,0.0129,0.0306,0.0503,1
0.0007,0.0041,0.0029,0.0114,0.0858,0.1049,1
0.0009,0.0041,0.0027,0.0103,0.0862,0.1042,1
0.0007,0.0039,0.0020,0.0129,0.0675,0.0871,1
0.0008,0.0041,0.0024,0.0114,0.0861,0.1048,1
0.0007,0.0040,0.0023,0.0128,0.0822,0.1021,1
0.0007,0.0041,0.0028,0.0123,0.0553,0.0752,1
0.0008,0.0040,0.0022,0.0124,0.0529,0.0724,1
0.0008,0.0040,0.0020,0.0129,0.0779,0.0976,1
0.0008,0.0041,0.0021,0.0124,0.0813,0.1007,1
0.0007,0.0041,0.0044,0.0105,0.0950,0.1148,1
