embed,frnn,filter,gnn,wcc,exatrkx,num_evts
0.0089,0.0072,0.0093,0.0110,0.0735,0.1099,1
0.0012,0.0051,0.0100,0.0113,0.0475,0.0750,1
0.0018,0.0053,0.0601,0.0282,0.0898,0.1851,1
0.0015,0.0051,0.0269,0.0155,0.0912,0.1401,1
0.0011,0.0049,0.0051,0.0117,0.0525,0.0753,1
0.0021,0.0054,0.0880,0.0422,0.0677,0.2053,1
0.0017,0.0053,0.0412,0.0199,0.0566,0.1247,1
0.0011,0.0046,0.0140,0.0115,0.0380,0.0691,1
0.0010,0.0049,0.0146,0.0115,0.0576,0.0896,1
0.0016,0.0052,0.0460,0.0230,0.0715,0.1472,1
0.0011,0.0050,0.0158,0.0119,0.0812,0.1149,1
0.0010,0.0049,0.0070,0.0122,0.0549,0.0800,1
0.0011,0.0049,0.0120,0.0119,0.0652,0.0950,1
0.0016,0.0051,0.0434,0.0214,0.0605,0.1319,1
0.0011,0.0049,0.0079,0.0122,0.0781,0.1042,1
0.0013,0.0049,0.0225,0.0125,0.0780,0.1192,1
0.0013,0.0049,0.0205,0.0126,0.0910,0.1303,1
0.0013,0.0049,0.0284,0.0165,0.0665,0.1175,1
0.0015,0.0051,0.0400,0.0206,0.0503,0.1173,1
0.0011,0.0049,0.0138,0.0121,0.0395,0.0713,1
0.0011,0.0048,0.0031,0.0131,0.0273,0.0492,1
0.0010,0.0049,0.0147,0.0130,0.0373,0.0708,1
0.0011,0.0049,0.0070,0.0131,0.0363,0.0622,1
0.0011,0.0049,0.0177,0.0123,0.0469,0.0828,1
0.0011,0.0049,0.0047,0.0132,0.0311,0.0549,1
0.0014,0.0050,0.0339,0.0197,0.0864,0.1462,1
0.0016,0.0050,0.0363,0.0198,0.0868,0.1494,1
0.0010,0.0047,0.0031,0.0132,0.0683,0.0902,1
0.0013,0.0049,0.0244,0.0132,0.0867,0.1304,1
0.0010,0.0048,0.0064,0.0131,0.0828,0.1080,1
0.0011,0.0049,0.0170,0.0130,0.0559,0.0919,1
0.0011,0.0049,0.0130,0.0129,0.0534,0.0852,1
0.0010,0.0048,0.0055,0.0132,0.0784,0.1030,1
0.0011,0.0049,0.0229,0.0128,0.0819,0.1235,1
0.0015,0.0050,0.0386,0.0204,0.0956,0.1610,1
0.0014,0.0050,0.0258,0.0151,0.0939,0.1412,1
0.0011,0.0049,0.0070,0.0131,0.0804,0.1066,1
