embed,frnn,filter,gnn,wcc,exatrkx,num_evts
0.0096,0.0060,0.0054,0.0105,0.0736,0.1050,1
0.0011,0.0050,0.0099,0.0113,0.0695,0.0967,1
0.0018,0.0052,0.0554,0.0281,0.0911,0.1815,1
0.0014,0.0049,0.0258,0.0145,0.0911,0.1376,1
0.0010,0.0048,0.0045,0.0118,0.0486,0.0706,1
0.0019,0.0052,0.0849,0.0395,0.0904,0.2218,1
0.0015,0.0050,0.0401,0.0199,0.0858,0.1522,1
0.0011,0.0048,0.0141,0.0117,0.0733,0.1048,1
0.0010,0.0048,0.0140,0.0117,0.0637,0.0951,1
0.0016,0.0051,0.0461,0.0230,0.0819,0.1576,1
0.0011,0.0048,0.0157,0.0119,0.0811,0.1146,1
0.0010,0.0048,0.0065,0.0123,0.0567,0.0811,1
0.0010,0.0048,0.0114,0.0120,0.0640,0.0931,1
0.0015,0.0050,0.0435,0.0213,0.0823,0.1536,1
0.0011,0.0048,0.0074,0.0123,0.0556,0.0811,1
0.0013,0.0048,0.0230,0.0146,0.0740,0.1177,1
0.0014,0.0048,0.0202,0.0124,0.0761,0.1148,1
0.0013,0.0048,0.0282,0.0168,0.0859,0.1370,1
0.0015,0.0050,0.0400,0.0205,0.0801,0.1471,1
0.0011,0.0048,0.0132,0.0122,0.0701,0.1013,1
0.0011,0.0047,0.0025,0.0131,0.0527,0.0740,1
0.0011,0.0048,0.0143,0.0127,0.0643,0.0971,1
0.0011,0.0048,0.0102,0.0129,0.0478,0.0767,1
0.0011,0.0048,0.0181,0.0131,0.0865,0.1234,1
0.0011,0.0047,0.0048,0.0132,0.0755,0.0992,1
0.0013,0.0049,0.0339,0.0195,0.0956,0.1552,1
0.0015,0.0049,0.0365,0.0197,0.0910,0.1536,1
0.0010,0.0047,0.0031,0.0132,0.0678,0.0898,1
0.0013,0.0048,0.0210,0.0127,0.0861,0.1258,1
0.0010,0.0047,0.0055,0.0133,0.0838,0.1083,1
0.0011,0.0044,0.0157,0.0130,0.0846,0.1187,1
0.0011,0.0048,0.0120,0.0128,0.0830,0.1136,1
0.0010,0.0047,0.0051,0.0134,0.0785,0.1027,1
0.0011,0.0048,0.0088,0.0130,0.0806,0.1083,1
0.0015,0.0049,0.0371,0.0204,0.0951,0.1589,1
0.0015,0.0049,0.0252,0.0151,0.0915,0.1381,1
0.0011,0.0048,0.0069,0.0133,0.0812,0.1073,1
0.0014,0.0049,0.0296,0.0178,0.0880,0.1417,1
0.0014,0.0049,0.0253,0.0135,0.0890,0.1340,1
0.0014,0.0048,0.0234,0.0125,0.0893,0.1314,1
0.0011,0.0048,0.0089,0.0130,0.0808,0.1086,1
0.0012,0.0048,0.0301,0.0152,0.0873,0.1385,1
0.0011,0.0048,0.0102,0.0129,0.0912,0.1201,1
0.0011,0.0048,0.0079,0.0131,0.0775,0.1043,1
0.0014,0.0049,0.0296,0.0164,0.0931,0.1454,1
0.0013,0.0049,0.0188,0.0125,0.0689,0.1063,1
0.0018,0.0053,0.0596,0.0308,0.0843,0.1817,1
0.0011,0.0080,0.0144,0.0127,0.0787,0.1148,1
0.0011,0.0048,0.0079,0.0131,0.0558,0.0826,1
0.0012,0.0049,0.0182,0.0125,0.0359,0.0726,1
0.0011,0.0048,0.0032,0.0131,0.0306,0.0528,1
0.0012,0.0049,0.0174,0.0125,0.0396,0.0755,1
0.0011,0.0048,0.0161,0.0132,0.0475,0.0826,1
0.0010,0.0049,0.0128,0.0128,0.0385,0.0699,1
0.0011,0.0048,0.0024,0.0126,0.0292,0.0499,1
0.0012,0.0048,0.0201,0.0125,0.0378,0.0764,1
0.0011,0.0048,0.0087,0.0129,0.0348,0.0623,1
0.0010,0.0048,0.0124,0.0130,0.0362,0.0674,1
0.0013,0.0048,0.0209,0.0125,0.0489,0.0883,1
0.0013,0.0049,0.0221,0.0126,0.0456,0.0865,1
0.0016,0.0051,0.0430,0.0217,0.0383,0.1097,1
0.0016,0.0171,0.0436,0.0223,0.0524,0.1370,1
0.0013,0.0049,0.0225,0.0131,0.0559,0.0978,1
0.0011,0.0049,0.0075,0.0132,0.0362,0.0627,1
0.0011,0.0049,0.0096,0.0130,0.0360,0.0646,1
0.0011,0.0048,0.0065,0.0132,0.0384,0.0640,1
0.0011,0.0048,0.0052,0.0132,0.0346,0.0589,1
0.0008,0.0048,0.0031,0.0131,0.0300,0.0517,1
0.0014,0.0050,0.0290,0.0169,0.0373,0.0895,1
0.0009,0.0048,0.0021,0.0131,0.0251,0.0460,1
0.0013,0.0049,0.0308,0.0169,0.0387,0.0924,1
0.0011,0.0049,0.0041,0.0132,0.0319,0.0551,1
0.0011,0.0048,0.0036,0.0133,0.0331,0.0558,1
0.0011,0.0049,0.0079,0.0131,0.0338,0.0607,1
0.0011,0.0049,0.0165,0.0131,0.0382,0.0737,1
0.0009,0.0049,0.0117,0.0126,0.0333,0.0634,1
0.0011,0.0049,0.0098,0.0118,0.0322,0.0597,1
0.0013,0.0051,0.0314,0.0166,0.0392,0.0935,1
0.0013,0.0050,0.0195,0.0125,0.0407,0.0788,1
0.0013,0.0049,0.0208,0.0124,0.0523,0.0917,1
0.0011,0.0049,0.0087,0.0145,0.0412,0.0703,1
0.0012,0.0049,0.0057,0.0132,0.0395,0.0643,1
0.0011,0.0049,0.0085,0.0130,0.0364,0.0638,1
0.0011,0.0049,0.0114,0.0118,0.0332,0.0622,1
0.0011,0.0049,0.0056,0.0132,0.0363,0.0609,1
0.0011,0.0049,0.0098,0.0129,0.0366,0.0652,1
0.0011,0.0049,0.0033,0.0132,0.0302,0.0525,1
0.0013,0.0049,0.0223,0.0125,0.0373,0.0783,1
0.0010,0.0049,0.0118,0.0130,0.0344,0.0650,1
0.0013,0.0049,0.0194,0.0125,0.0372,0.0752,1
0.0011,0.0049,0.0063,0.0133,0.0347,0.0601,1
0.0010,0.0049,0.0126,0.0127,0.0391,0.0701,1
0.0011,0.0048,0.0067,0.0130,0.0334,0.0590,1
0.0011,0.0049,0.0066,0.0131,0.0343,0.0598,1
0.0010,0.0048,0.0144,0.0127,0.0376,0.0705,1
0.0010,0.0048,0.0026,0.0131,0.0342,0.0557,1
0.0011,0.0048,0.0103,0.0128,0.0329,0.0619,1
0.0010,0.0048,0.0145,0.0127,0.0457,0.0786,1
0.0013,0.0050,0.0282,0.0159,0.0673,0.1176,1
0.0011,0.0049,0.0151,0.0131,0.0881,0.1222,1
